pricing_plan_id,app_id,feature
3120,1729,"For merchants on the ""Basic Shopify"" pricing plan. All features included."
3121,1729,"For merchants on the ""Shopify"" pricing plan. All features included."
3122,1729,"For merchants on the ""Advanced Shopify"" pricing plan. All features included."
3123,1729,"For merchants on the ""Shopify Plus"" pricing plan. All features included."
3124,1730,10 size products visible
3124,1730,Manual product update
3125,1730,Unlimited size product visible
3125,1730,Automatic product update
3125,1730,Customize user-interface
3127,1732,Messenger	50
3127,1732,Email	50
3127,1732,Webpush	50
3127,1732,Customizable	Yes
3127,1732,Coupon Code	No
3127,1732,Product limit	Unlimit
3127,1732,Support	12/24
3127,1732,Live support	Yes
3128,1732,Messenger	100
3128,1732,Email	100
3128,1732,Webpush	100
3128,1732,Customizable	Yes
3128,1732,Coupon Code	Yes
3128,1732,Product limit	Unlimit
3128,1732,Support	24/24
3128,1732,Live support	Yes
3129,1732,Messenger	500
3129,1732,Email	500
3129,1732,Webpush	500
3129,1732,Customizable	Yes
3129,1732,Coupon Code	Yes
3129,1732,Product limit	Unlimit
3129,1732,Support	24/24
3129,1732,Live support	Yes
3130,1732,Messenger	1000
3130,1732,Email	1000
3130,1732,Webpush	1000
3130,1732,Customizable	Yes
3130,1732,Coupon Code	Yes
3130,1732,Product limit	Unlimit
3130,1732,Support	24/24
3130,1732,Live support	Yes
3131,1733,"Syncs up to 18,000 annual orders."
3131,1733,Does not work with QuickBooks Point of Sale.
3131,1733,Includes on-boarding & set-up support
3132,1733,"Syncs up to 30,000 annual orders,"
3132,1733,Required to integrate with QuickBooks Point of Sale.
